BTP,Institution,SB ID,Local ID,Sex,Age,Disposition,Location,Breeding,With,Notes,Facility_Note
2025,"GARDENCTY
Lee Richardson Zoo
312 Finnup Drive, Garden City, Kansas 67846, United States",2666,117017,F,8,HOLD,GARDENCTY,BREED WITH,2671,,
2025,"GARDENCTY
Lee Richardson Zoo
312 Finnup Drive, Garden City, Kansas 67846, United States",2671,117022,M,8,HOLD,GARDENCTY,BREED WITH,2666,,
2025,"LITTLEROC
Little Rock Zoological Gardens
One Jonesboro Drive, Little Rock, Arkansas 72205, United States",2634,7403,M,14,HOLD,LITTLEROC,DO NOT BREED,,"Died during comment
period","Facility Note: The SSP Coordinator is aware of your request to place the offspring and will work to fulfill this request as more
space becomes available."
2025,"LITTLEROC
Little Rock Zoological Gardens
One Jonesboro Drive, Little Rock, Arkansas 72205, United States",2654,7508,F,10,HOLD,LITTLEROC,DO NOT BREED,,,"Facility Note: The SSP Coordinator is aware of your request to place the offspring and will work to fulfill this request as more
space becomes available."
2025,"LITTLEROC
Little Rock Zoological Gardens
One Jonesboro Drive, Little Rock, Arkansas 72205, United States",2729,7997,M,1,HOLD,LITTLEROC,DO NOT BREED,,,"Facility Note: The SSP Coordinator is aware of your request to place the offspring and will work to fulfill this request as more
space becomes available."
2025,"LITTLEROC
Little Rock Zoological Gardens
One Jonesboro Drive, Little Rock, Arkansas 72205, United States",2730,7998,M,1,HOLD,LITTLEROC,DO NOT BREED,,,"Facility Note: The SSP Coordinator is aware of your request to place the offspring and will work to fulfill this request as more
space becomes available."
2025,"MEMPHIS
Memphis Zoological Garden & Aquarium
2000 Prentiss Place, Memphis, Tennessee 38112, United States",2673,19M042,M,8,HOLD,MEMPHIS,BREED WITH,2718,,
2025,"MEMPHIS
Memphis Zoological Garden & Aquarium
2000 Prentiss Place, Memphis, Tennessee 38112, United States",2718,24M011,F,2,HOLD,MEMPHIS,BREED WITH,2673,,
2025,"MEMPHIS
Memphis Zoological Garden & Aquarium
2000 Prentiss Place, Memphis, Tennessee 38112, United States",2732,23M072,M,1,HOLD,MEMPHIS,DO NOT BREED,,,
2025,"MILWAUKEE
Milwaukee County Zoological Gardens
10001 W Bluemound Road, Milwaukee, Wisconsin 53226, United States",2626,UND,F,14,HOLD,MILWAUKEE,DO NOT BREED,,Excluded - Behavior,
2025,"MILWAUKEE
Milwaukee County Zoological Gardens
10001 W Bluemound Road, Milwaukee, Wisconsin 53226, United States",2631,UND,M,14,HOLD,MILWAUKEE,DO NOT BREED,,,
2025,"MOODY
Aquarium at Moody Gardens
1 Hope Boulevard, Galveston, Texas 77554, United States",2649,7832,M,12,HOLD,MOODY,BREED WITH,2659,,
2025,"MOODY
Aquarium at Moody Gardens
1 Hope Boulevard, Galveston, Texas 77554, United States",2659,10066,F,9,HOLD,MOODY,BREED WITH,2649,,
2025,"MOODY
Aquarium at Moody Gardens
1 Hope Boulevard, Galveston, Texas 77554, United States",2719,10167,F,2,HOLD,MOODY,BREED WITH,2723,,
2025,"MOODY
Aquarium at Moody Gardens
1 Hope Boulevard, Galveston, Texas 77554, United States",2723,9885,M,1,HOLD,MOODY,BREED WITH,2719,,
2025,"NY BRONX
Bronx Zoo/Wildlife Conservation Society
2300 Southern Boulevard, Bronx, New York 10460, United States",2623,M14052,M,14,HOLD,NY BRONX,BREED WITH,2640,,
2025,"NY BRONX
Bronx Zoo/Wildlife Conservation Society
2300 Southern Boulevard, Bronx, New York 10460, United States",2640,M14053,F,12,HOLD,NY BRONX,BREED WITH,2623,,
2025,"NY BRONX
Bronx Zoo/Wildlife Conservation Society
2300 Southern Boulevard, Bronx, New York 10460, United States",2682,M19007,M,7,RECEIVE FROM,BLOOMINGT,BREED WITH,2708,,
2025,"NY BRONX
Bronx Zoo/Wildlife Conservation Society
2300 Southern Boulevard, Bronx, New York 10460, United States",2708,116283,F,4,RECEIVE FROM,NZP-WASH,BREED WITH,2682,,
2025,"NZP-WASH
Smithsonian National Zoological Park
3001 Connecticut Avenue NW, Washington, DC 20008, United States",2708,116283,F,4,SEND TO,NY BRONX,BREED WITH,2682,,
2025,"NZP-WASH
Smithsonian National Zoological Park
3001 Connecticut Avenue NW, Washington, DC 20008, United States",2715,116282,M,3,HOLD,NZP-WASH,DO NOT BREED,,,
2025,"NZP-WASH
Smithsonian National Zoological Park
3001 Connecticut Avenue NW, Washington, DC 20008, United States",2735,116461,M,0,HOLD,NZP-WASH,DO NOT BREED,,,
